IdentifierType,IdentifierTypeID,ID,NIMSPEntityID
"Sunlight Lawmaker",1,AZL000137,6690503
"Sunlight Lawmaker",1,AZL000141,6662244
"Sunlight Lawmaker",1,AZL000142,6690448
"Sunlight Lawmaker",1,AZL000144,6381730
"Sunlight Lawmaker",1,AZL000148,12997768
"Sunlight Lawmaker",1,AZL000151,6690553
"Sunlight Lawmaker",1,AZL000155,6507388
"Sunlight Lawmaker",1,AZL000162,6690618
"Sunlight Lawmaker",1,AZL000164,6507410
"Sunlight Lawmaker",1,AZL000167,6690603
"Sunlight Lawmaker",1,AZL000173,12997787
"Sunlight Lawmaker",1,AZL000174,6507476
"Sunlight Lawmaker",1,AZL000180,6690537
"Sunlight Lawmaker",1,AZL000185,6507489
"Sunlight Lawmaker",1,AZL000193,12719928
"Sunlight Lawmaker",1,AZL000236,12252950
"Sunlight Lawmaker",1,AZL000242,12719889
"Sunlight Lawmaker",1,AZL000243,12719924
"Sunlight Lawmaker",1,AZL000246,12719918
"Sunlight Lawmaker",1,AZL000248,12719912
"Sunlight Lawmaker",1,AZL000250,6492084
"Sunlight Lawmaker",1,AZL000255,12719881
"Sunlight Lawmaker",1,AZL000267,18913538
"Sunlight Lawmaker",1,AZL000269,12719900
"Sunlight Lawmaker",1,AZL000275,12719907
"Sunlight Lawmaker",1,AZL000288,6458957
"Sunlight Lawmaker",1,AZL000293,12719892
"Sunlight Lawmaker",1,AZL000294,6690635
"Sunlight Lawmaker",1,AZL000299,24731409
"Sunlight Lawmaker",1,AZL000300,23319205
"Sunlight Lawmaker",1,AZL000305,12719884
"Sunlight Lawmaker",1,AZL000306,6671152
"Sunlight Lawmaker",1,AZL000307,13011138
"Sunlight Lawmaker",1,AZL000308,12719882
"Sunlight Lawmaker",1,AZL000309,12719897
"Sunlight Lawmaker",1,AZL000311,12997863
"Sunlight Lawmaker",1,AZL000312,8465439
"Sunlight Lawmaker",1,AZL000313,24748415
"Sunlight Lawmaker",1,AZL000314,12719942
"Sunlight Lawmaker",1,AZL000316,6662340
"Sunlight Lawmaker",1,AZL000318,23318738
"Sunlight Lawmaker",1,AZL000319,15395133
"Sunlight Lawmaker",1,AZL000320,24751755
"Sunlight Lawmaker",1,AZL000321,12719936
"Sunlight Lawmaker",1,AZL000325,23314585
"Sunlight Lawmaker",1,AZL000326,24748398
"Sunlight Lawmaker",1,AZL000327,9691346
"Sunlight Lawmaker",1,AZL000328,24748389
"Sunlight Lawmaker",1,AZL000329,24748391
"Sunlight Lawmaker",1,AZL000334,23293190
"Sunlight Lawmaker",1,AZL000335,12719885
"Sunlight Lawmaker",1,AZL000336,6602386
"Sunlight Lawmaker",1,AZL000340,12719945
"Sunlight Lawmaker",1,AZL000341,24748365
"Sunlight Lawmaker",1,AZL000342,6507379
"Sunlight Lawmaker",1,AZL000343,24748395
"Sunlight Lawmaker",1,AZL000344,23317844
"Sunlight Lawmaker",1,AZL000345,12719919
"Sunlight Lawmaker",1,AZL000356,39700886
"Sunlight Lawmaker",1,AZL000358,12720153
"Sunlight Lawmaker",1,AZL000360,8463907
"Sunlight Lawmaker",1,CAL000003,22531
"Sunlight Lawmaker",1,CAL000005,2230653
"Sunlight Lawmaker",1,CAL000009,6398685
"Sunlight Lawmaker",1,CAL000016,22108
"Sunlight Lawmaker",1,CAL000018,1262346
"Sunlight Lawmaker",1,CAL000022,13008765
"Sunlight Lawmaker",1,CAL000044,6485591
"Sunlight Lawmaker",1,CAL000049,2321262
"Sunlight Lawmaker",1,CAL000051,776647
"Sunlight Lawmaker",1,CAL000057,6468707
"Sunlight Lawmaker",1,CAL000062,6468748
"Sunlight Lawmaker",1,CAL000083,6485659
"Sunlight Lawmaker",1,CAL000085,13008555
"Sunlight Lawmaker",1,CAL000087,258108
"Sunlight Lawmaker",1,CAL000091,13008740
"Sunlight Lawmaker",1,CAL000102,13008426
"Sunlight Lawmaker",1,CAL000103,13008412
"Sunlight Lawmaker",1,CAL000107,6485702
"Sunlight Lawmaker",1,CAL000112,22070
"Sunlight Lawmaker",1,CAL000116,493316
"Sunlight Lawmaker",1,CAL000123,13008664
"Sunlight Lawmaker",1,CAL000133,13011175
"Sunlight Lawmaker",1,CAL000137,415439
"Sunlight Lawmaker",1,CAL000138,13008491
"Sunlight Lawmaker",1,CAL000140,13008592
"Sunlight Lawmaker",1,CAL000141,654343
"Sunlight Lawmaker",1,CAL000145,13008835
"Sunlight Lawmaker",1,CAL000146,13008599
"Sunlight Lawmaker",1,CAL000149,13008437
"Sunlight Lawmaker",1,CAL000150,13008823
"Sunlight Lawmaker",1,CAL000151,299294
"Sunlight Lawmaker",1,CAL000152,13008693
"Sunlight Lawmaker",1,CAL000153,196260
"Sunlight Lawmaker",1,CAL000154,20815458
"Sunlight Lawmaker",1,CAL000155,6489792
"Sunlight Lawmaker",1,CAL000157,1801952
"Sunlight Lawmaker",1,CAL000159,6503313
"Sunlight Lawmaker",1,CAL000161,1322026
"Sunlight Lawmaker",1,CAL000167,13008529
"Sunlight Lawmaker",1,CAL000169,41481
"Sunlight Lawmaker",1,CAL000316,160620
"Sunlight Lawmaker",1,CAL000327,11022836
"Sunlight Lawmaker",1,CAL000338,13008838
"Sunlight Lawmaker",1,CAL000341,13008441
"Sunlight Lawmaker",1,CAL000342,11022796
"Sunlight Lawmaker",1,CAL000346,13008519
"Sunlight Lawmaker",1,CAL000348,13008690
"Sunlight Lawmaker",1,CAL000350,11022802
"Sunlight Lawmaker",1,CAL000352,702180
"Sunlight Lawmaker",1,CAL000353,13008872
"Sunlight Lawmaker",1,CAL000356,717012
"Sunlight Lawmaker",1,CAL000357,13008404
"Sunlight Lawmaker",1,CAL000358,11022817
"Sunlight Lawmaker",1,CAL000361,1262442
"Sunlight Lawmaker",1,CAL000364,11022751
"Sunlight Lawmaker",1,CAL000366,13008754
"Sunlight Lawmaker",1,CAL000368,13008707
"Sunlight Lawmaker",1,CAL000371,11022764
"Sunlight Lawmaker",1,CAL000377,11022784
"Sunlight Lawmaker",1,CAL000380,6503400
"Sunlight Lawmaker",1,CAL000381,779330
"Sunlight Lawmaker",1,CAL000382,11023315
"Sunlight Lawmaker",1,CAL000385,13008880
"Sunlight Lawmaker",1,CAL000387,386803
"Sunlight Lawmaker",1,CAL000388,13008813
"Sunlight Lawmaker",1,CAL000391,13008543
"Sunlight Lawmaker",1,CAL000393,11022792
"Sunlight Lawmaker",1,CAL000397,1516357
"Sunlight Lawmaker",1,CAL000401,13008532
"Sunlight Lawmaker",1,CAL000404,255857
"Sunlight Lawmaker",1,CAL000406,11022774
"Sunlight Lawmaker",1,CAL000407,11022760
"Sunlight Lawmaker",1,CAL000410,1569939
"Sunlight Lawmaker",1,CAL000411,13008894
